year,species,total_biomC
400,PRUNsero,4.05
410,PRUNsero,3.06
420,PRUNsero,2.61
430,PRUNsero,1.99
440,PRUNsero,2.26
450,PRUNsero,2.54
460,PRUNsero,2.56
470,PRUNsero,2.84
480,PRUNsero,2.6
490,PRUNsero,2.18
500,PRUNsero,2.56
0,QUERalba,0.03
10,QUERalba,0.25
20,QUERalba,0.37
30,QUERalba,0.48
40,QUERalba,0.63
50,QUERalba,0.76
60,QUERalba,0.91
70,QUERalba,1.14
80,QUERalba,1.48
90,QUERalba,1.86
100,QUERalba,2.53
110,QUERalba,3.43
120,QUERalba,4.5
130,QUERalba,5.34
140,QUERalba,6.83
150,QUERalba,8.25
160,QUERalba,9
170,QUERalba,11.77
180,QUERalba,13.58
190,QUERalba,14.51
200,QUERalba,15.83
210,QUERalba,16.15
220,QUERalba,18.12
230,QUERalba,18.82
240,QUERalba,21.28
250,QUERalba,19.72
260,QUERalba,19.25
270,QUERalba,19.9
280,QUERalba,18.62
290,QUERalba,19.88
300,QUERalba,20.72
310,QUERalba,17.63
320,QUERalba,18.91
330,QUERalba,19.04
340,QUERalba,19.97
350,QUERalba,19.28
360,QUERalba,20.48
370,QUERalba,20.63
380,QUERalba,21.61
390,QUERalba,18.19
400,QUERalba,18.23
410,QUERalba,20.49
420,QUERalba,22.38
430,QUERalba,22.09
440,QUERalba,24.06
450,QUERalba,22.75
460,QUERalba,23.54
470,QUERalba,22.82
480,QUERalba,21.21
490,QUERalba,21.25
500,QUERalba,19.55
0,QUERprin,0.04
10,QUERprin,0.26
20,QUERprin,0.41
30,QUERprin,0.49
40,QUERprin,0.58
50,QUERprin,0.67
60,QUERprin,0.81
70,QUERprin,0.96
80,QUERprin,1.16
90,QUERprin,1.46
100,QUERprin,1.66
110,QUERprin,2.1
120,QUERprin,2.4
130,QUERprin,2.17
140,QUERprin,2.56
150,QUERprin,3.32
160,QUERprin,3.54
170,QUERprin,4.29
180,QUERprin,4.66
190,QUERprin,4.75
200,QUERprin,4.2
210,QUERprin,4.43
220,QUERprin,4.84
230,QUERprin,5.89
240,QUERprin,6.51
250,QUERprin,7.36
260,QUERprin,6.88
270,QUERprin,7.38
280,QUERprin,7.5
290,QUERprin,7.06
300,QUERprin,7.66
310,QUERprin,6.59
320,QUERprin,6.87
330,QUERprin,7.05
340,QUERprin,7.07
350,QUERprin,6.25
360,QUERprin,5.61
370,QUERprin,5.06
380,QUERprin,5.51
390,QUERprin,5.34
400,QUERprin,5.38
410,QUERprin,4.76
420,QUERprin,5
430,QUERprin,4.97
440,QUERprin,5.11
450,QUERprin,4.68
460,QUERprin,3.71
470,QUERprin,3.39
480,QUERprin,2.81
490,QUERprin,3.2
500,QUERprin,2.59
0,QUERrubr,0.03
10,QUERrubr,0.3
20,QUERrubr,0.58
30,QUERrubr,0.88
40,QUERrubr,1.32
50,QUERrubr,1.87
60,QUERrubr,2.63
70,QUERrubr,3.54
80,QUERrubr,4.77
90,QUERrubr,6.07
100,QUERrubr,7.59
110,QUERrubr,8.8
120,QUERrubr,9.99
130,QUERrubr,11.21
140,QUERrubr,12.97
150,QUERrubr,14.04
160,QUERrubr,15.74
170,QUERrubr,17.86
180,QUERrubr,19.23
190,QUERrubr,20.92
200,QUERrubr,20.44
210,QUERrubr,20.91
220,QUERrubr,23.05
230,QUERrubr,21.81
240,QUERrubr,20.33
250,QUERrubr,21.1
260,QUERrubr,20.87
270,QUERrubr,21.46
280,QUERrubr,23.92
290,QUERrubr,23.39
300,QUERrubr,22.39
310,QUERrubr,23.37
320,QUERrubr,23.34
330,QUERrubr,24.85
340,QUERrubr,22.59
350,QUERrubr,22.85
360,QUERrubr,22.22
370,QUERrubr,21.99
380,QUERrubr,24.32
390,QUERrubr,24.34
400,QUERrubr,25.34
410,QUERrubr,26.35
420,QUERrubr,23.73
430,QUERrubr,23.32
440,QUERrubr,23.87
450,QUERrubr,22.98
460,QUERrubr,22.88
470,QUERrubr,22.84
480,QUERrubr,23.09
490,QUERrubr,21.56
500,QUERrubr,22.97
0,QUERvelu,0.04
10,QUERvelu,0.39
20,QUERvelu,0.68
30,QUERvelu,1.02
40,QUERvelu,1.48
50,QUERvelu,2.06
60,QUERvelu,2.9
70,QUERvelu,4.01
80,QUERvelu,5.36
90,QUERvelu,6.73
100,QUERvelu,8.83
110,QUERvelu,11.27
120,QUERvelu,13.72
130,QUERvelu,14.74
140,QUERvelu,15.57
150,QUERvelu,16.11
160,QUERvelu,16.94
170,QUERvelu,18.34
180,QUERvelu,19.7
190,QUERvelu,20.04
200,QUERvelu,20.03
210,QUERvelu,18.26
220,QUERvelu,17.77
